Date,Open,High,Low,Close,Adj Close,Volume
30/04/1996,2.100306,2.192095,2.114636,2.173505,1.75319,542220
01/05/1996,2.173505,2.308284,2.193257,2.249028,1.814108,916611
02/05/1996,2.249028,2.285046,2.25445,2.280011,1.839099,645501
03/05/1996,2.280011,2.323776,2.285046,2.314481,1.866903,1161901
06/05/1996,2.314481,2.269554,2.215333,2.220368,1.79099,710051
07/05/1996,2.220368,2.238571,2.146394,2.206038,1.779431,981161
08/05/1996,2.206038,2.246317,2.130128,2.207587,1.780681,361480
09/05/1996,2.207587,2.190933,2.130128,2.152978,1.736632,451850
10/05/1996,2.152978,2.103792,2.037177,2.103792,1.696958,154920
13/05/1996,2.103792,2.183962,2.126255,2.176603,1.755689,206560
14/05/1996,2.176603,2.184349,2.130515,2.143683,1.729135,271110
15/05/1996,2.143683,2.228888,2.168857,2.202552,1.776619,258200
16/05/1996,2.202552,2.246317,2.184349,2.184349,1.761936,258200
17/05/1996,2.168857,2.176603,2.137874,2.164985,1.746317,77460
20/05/1996,2.164985,2.129741,2.091398,2.091398,1.686961,90370
21/05/1996,2.091398,2.104954,2.029431,2.042599,1.647598,219470
22/05/1996,2.042599,2.122382,2.044923,2.122382,1.711953,180740
23/05/1996,2.122382,2.10689,2.091398,2.095271,1.690085,245290
24/05/1996,2.095271,2.079779,2.064288,2.064288,1.665093,77460
27/05/1996,2.064288,2.052669,2.022072,2.033304,1.640101,503490
28/05/1996,2.033304,2.029431,1.959718,2.029431,1.636977,116190
29/05/1996,2.029431,2.10689,2.013939,2.10689,1.699457,167830
30/05/1996,2.10689,2.10689,2.091398,2.091398,1.686961,64550
31/05/1996,2.091398,2.130128,2.091398,2.130128,1.718201,142010
03/06/1996,2.130128,2.168857,2.122382,2.130128,1.718201,129100
04/06/1996,2.130128,2.180476,2.146394,2.162661,1.744443,400210
05/06/1996,2.168857,2.168857,2.153753,2.161112,1.743193,180740
06/06/1996,2.176603,2.207587,2.130902,2.207587,1.780681,1445922
07/06/1996,2.114636,2.130128,2.107665,2.130128,1.718201,116190
10/06/1996,2.125868,2.129353,2.093335,2.109988,1.701956,129100
11/06/1996,2.091398,2.122382,2.014326,2.053056,1.656033,77460
12/06/1996,2.099144,2.122382,2.099144,2.114636,1.705705,258200
13/06/1996,2.091398,2.091398,2.091398,2.091398,1.686961,116190
14/06/1996,2.099144,2.10689,2.093335,2.10689,1.699457,322750
17/06/1996,2.130128,2.153366,2.10689,2.129741,1.717888,981161
18/06/1996,2.157239,2.207587,2.10689,2.161112,1.743193,619680
19/06/1996,2.168857,2.184349,2.149493,2.153366,1.736945,426030
20/06/1996,2.130128,2.137874,2.130128,2.130128,1.718201,1510472
21/06/1996,2.134001,2.137874,2.110763,2.119671,1.709766,296930
24/06/1996,2.091398,2.130128,2.052669,2.099144,1.710015,258200
25/06/1996,2.089462,2.153366,2.079779,2.129353,1.734624,684231
26/06/1996,2.169632,2.192095,2.120445,2.122382,1.728946,180740
27/06/1996,2.110763,2.153366,2.099144,2.140198,1.743459,271110
28/06/1996,2.129741,2.150267,2.114636,2.150267,1.751661,116190
01/07/1996,2.14562,2.14562,2.10689,2.118509,1.72579,77460
02/07/1996,2.130128,2.157239,2.118509,2.135163,1.739357,542220
03/07/1996,2.168857,2.192095,2.122382,2.134388,1.738726,413120
04/07/1996,2.044923,2.129741,2.044923,2.095271,1.70686,413120
05/07/1996,2.091011,2.091011,2.068161,2.068935,1.685406,64550
08/07/1996,2.075906,2.083652,2.075906,2.081716,1.695818,77460
09/07/1996,2.052669,2.053443,2.052669,2.052669,1.672155,116190
10/07/1996,2.052669,2.052669,2.013939,2.034853,1.657642,426030
11/07/1996,2.060415,2.060415,2.026333,2.029818,1.65354,116190
12/07/1996,2.091398,2.091398,2.054605,2.061189,1.679096,361480
15/07/1996,2.052669,2.075906,2.052669,2.075906,1.691085,77460
16/07/1996,2.075906,2.075906,2.029431,2.029431,1.653225,167830
17/07/1996,2.052669,2.122382,2.052669,2.092947,1.704967,271110
18/07/1996,2.106503,2.130128,2.075906,2.120445,1.727368,593860
19/07/1996,2.091398,2.168857,2.091398,2.132452,1.737149,361480
22/07/1996,2.148718,2.157239,2.148718,2.154915,1.755448,51640
23/07/1996,2.14562,2.14562,2.120445,2.126255,1.732101,206560
24/07/1996,2.114636,2.114636,2.080167,2.087913,1.700866,180740
25/07/1996,2.099919,2.099919,2.091398,2.091786,1.704021,154920
26/07/1996,2.075906,2.087525,2.038726,2.077843,1.692663,193650
29/07/1996,2.091398,2.106503,2.076294,2.086751,1.69992,335660
30/07/1996,2.091398,2.10689,2.037564,2.068935,1.685406,529310
31/07/1996,2.052669,2.052669,2.025558,2.037177,1.659536,103280
01/08/1996,2.052669,2.052669,2.027494,2.029431,1.653225,167830
02/08/1996,2.029818,2.052669,2.029431,2.052669,1.672155,103280
05/08/1996,2.048796,2.052669,2.048796,2.052669,1.672155,25820
06/08/1996,2.037177,2.037177,2.021685,2.029431,1.653225,103280
07/08/1996,2.044923,2.052669,2.029431,2.029431,1.653225,38730
08/08/1996,2.037177,2.060415,2.029431,2.044923,1.665846,116190
09/08/1996,2.064288,2.122382,2.064288,2.09256,1.704652,90370
12/08/1996,2.060415,2.060415,2.060415,2.060415,1.678466,12910
13/08/1996,2.044923,2.052669,2.029431,2.029431,1.653225,180740
14/08/1996,2.052669,2.091398,2.052669,2.075519,1.69077,167830
15/08/1996,2.075519,2.075519,2.075519,2.075519,1.69077,0
16/08/1996,2.052669,2.052669,2.044923,2.044923,1.665846,25820
19/08/1996,2.013939,2.044923,2.013939,2.028269,1.652279,296930
20/08/1996,2.013939,2.021685,2.013939,2.013939,1.640605,90370
21/08/1996,2.013939,2.013939,2.013939,2.013939,1.640605,103280
22/08/1996,2.030205,2.030205,2.021685,2.021685,1.646915,51640
23/08/1996,2.014326,2.021685,2.013939,2.013939,1.640605,232380
26/08/1996,2.029431,2.029431,2.014326,2.014326,1.640921,51640
27/08/1996,2.013939,2.017812,2.013939,2.013939,1.640605,116190
28/08/1996,2.013939,2.014714,2.013939,2.014326,1.640921,38730
29/08/1996,2.017812,2.044923,2.017812,2.021685,1.646915,51640
30/08/1996,2.025558,2.025558,2.015876,2.017037,1.643129,38730
02/09/1996,2.017812,2.029431,2.013939,2.029431,1.653225,180740
03/09/1996,2.015876,2.050732,2.013939,2.028269,1.652279,284020
04/09/1996,2.014714,2.014714,2.013939,2.014326,1.640921,77460
05/09/1996,2.015876,2.015876,2.015876,2.015876,1.642183,12910
06/09/1996,2.052669,2.052669,2.017812,2.025558,1.65007,38730
09/09/1996,2.013939,2.017812,2.013939,2.017812,1.64376,154920
10/09/1996,2.013939,2.021685,2.013939,2.013939,1.640605,180740
11/09/1996,2.006193,2.013939,2.006193,2.013939,1.640605,142010
12/09/1996,2.013939,2.021685,1.982955,1.996511,1.626408,271110
13/09/1996,2.006193,2.006193,1.990701,1.998447,1.627985,348570
16/09/1996,1.998447,1.998447,1.959718,1.96514,1.600852,361480
17/09/1996,1.975209,1.975209,1.93648,1.951972,1.590125,413120
18/09/1996,1.975209,1.975209,1.93648,1.93648,1.577505,206560
19/09/1996,1.975209,1.975209,1.93648,1.93648,1.577505,103280
20/09/1996,1.93648,1.93648,1.93648,1.93648,1.577505,64550
23/09/1996,1.93648,1.944226,1.920988,1.935318,1.576559,1174811
24/09/1996,1.93648,1.93648,1.89775,1.89775,1.545955,1575022
25/09/1996,1.89775,1.89775,1.76607,1.771492,1.443102,1136081
26/09/1996,1.773815,1.781174,1.665373,1.669633,1.360125,1807402
27/09/1996,1.657627,1.665373,1.55693,1.636325,1.332991,1071531
30/09/1996,1.596047,1.696356,1.564676,1.656465,1.349398,516400
01/10/1996,1.665373,1.704102,1.635938,1.676217,1.365488,477670
02/10/1996,1.676217,1.676217,1.676217,1.676217,1.365488,0
03/10/1996,1.665373,1.665373,1.626643,1.647944,1.342456,4621787
04/10/1996,1.68861,1.68861,1.626643,1.639811,1.335831,1148991
