Date,Open,High,Low,Close,Adj Close,Volume
01/01/1996,1.125,1.125,1.125,1.125,0.921463,19999
02/01/1996,1.0375,1.0375,1.0375,1.0375,0.849793,39999
03/01/1996,1.075,1.075,1.075,1.075,0.880509,19999
04/01/1996,1.075,1.075,1.075,1.075,0.880509,119999
05/01/1996,1.075,1.075,1.075,1.075,0.880509,0
08/01/1996,1.075,1.075,1.075,1.075,0.880509,0
09/01/1996,1.0825,1.0825,1.075,1.075,0.880509,39999
10/01/1996,1.075,1.0765,1.075,1.0765,0.881737,59999
11/01/1996,1.0765,1.0875,1.065,1.075,0.880509,79999
12/01/1996,1.075,1.075,1.075,1.075,0.880509,19999
15/01/1996,1.075,1.075,1.075,1.075,0.880509,0
16/01/1996,1.05,1.05,1.05,1.05,0.860032,19999
17/01/1996,1.05,1.05,1.05,1.05,0.860032,0
18/01/1996,1.05,1.07,1.07,1.07,0.876413,19999
19/01/1996,1.055,1.055,1.05,1.05,0.860032,39999
22/01/1996,1.030125,1.07,1.030125,1.07,0.876413,99999
23/01/1996,1.07,1.05,1.05,1.05,0.860032,79999
24/01/1996,1.0475,1.05,1.0475,1.05,0.860032,39999
25/01/1996,1.04875,1.05125,1.0375,1.05,0.860032,619999
26/01/1996,1.05,1.05,1.05,1.05,0.860032,0
29/01/1996,1.0375,1.05125,1.0375,1.05,0.860032,439999
30/01/1996,1.05,1.049875,1.000125,1.041375,0.852967,119999
31/01/1996,1.041375,1.041375,1.041375,1.041375,0.852967,0
01/02/1996,1.041375,1.041375,1.041375,1.041375,0.852967,0
02/02/1996,1.0625,1.075,1.0625,1.075,0.880509,39999
05/02/1996,1.075,1.075,1.075,1.075,0.880509,0
06/02/1996,1.05,1.05,1.05,1.05,0.860032,79999
07/02/1996,1.05,1.05,1.05,1.05,0.860032,0
08/02/1996,1.05,1.05,1.05,1.05,0.860032,0
09/02/1996,1.05,1.05,1.05,1.05,0.860032,0
12/02/1996,1.07475,1.07475,1.07475,1.07475,0.880304,39999
13/02/1996,1.07475,1.07475,1.07475,1.07475,0.880304,0
14/02/1996,1.07475,1.07475,1.07475,1.07475,0.880304,0
15/02/1996,1.07475,1.07475,1.07475,1.07475,0.880304,0
16/02/1996,1.125,1.125,1.125,1.125,0.921463,59999
19/02/1996,1.125,1.125,1.125,1.125,0.921463,0
20/02/1996,1.125,1.125,1.125,1.125,0.921463,0
21/02/1996,1.125,1.125,1.125,1.125,0.921463,0
22/02/1996,1.125,1.125,1.125,1.125,0.921463,0
23/02/1996,1.125,1.125,1.125,1.125,0.921463,0
26/02/1996,1.125,1.125,1.125,1.125,0.921463,19999
27/02/1996,1.1,1.1,1.0875,1.0875,0.890747,39999
28/02/1996,1.100125,1.125,1.100125,1.125,0.921463,79999
29/02/1996,1.125,1.125,1.125,1.125,0.921463,0
01/03/1996,1.125,1.125,1.125,1.125,0.921463,19999
04/03/1996,1.1,1.125,1.1,1.125,0.921463,39999
05/03/1996,1.125,1.125,1.125,1.125,0.921463,0
06/03/1996,1.125,1.125,1.125,1.125,0.921463,0
07/03/1996,1.125,1.125,1.125,1.125,0.921463,0
08/03/1996,1.1125,1.125,1.1125,1.11875,0.916343,39999
11/03/1996,1.11875,1.11875,1.11875,1.11875,0.916343,0
12/03/1996,1.125,1.125,1.125,1.125,0.921463,19999
13/03/1996,1.050125,1.050125,1.050125,1.050125,0.860134,399999
14/03/1996,1.050125,1.050125,1.050125,1.050125,0.860134,0
15/03/1996,1.075,1.075,1.065,1.065,0.872318,59999
18/03/1996,1.0875,1.1,1.0875,1.1,0.900986,59999
19/03/1996,1.125,1.125,1.100125,1.100125,0.901088,59999
20/03/1996,1.100125,1.100125,1.100125,1.100125,0.901088,0
21/03/1996,1.100125,1.100125,1.100125,1.100125,0.901088,0
22/03/1996,1.100125,1.100125,1.100125,1.100125,0.901088,0
25/03/1996,1.100125,1.100125,1.100125,1.100125,0.901088,0
26/03/1996,1.1,1.1125,1.1,1.1125,0.911224,39999
27/03/1996,1.1225,1.1225,1.1225,1.1225,0.919415,19999
28/03/1996,1.1225,1.1225,1.1225,1.1225,0.919415,0
29/03/1996,1.1,1.1,1.1,1.1,0.900986,19999
01/04/1996,1.1,1.1,1.1,1.1,0.900986,39999
02/04/1996,1.1,1.11,1.0875,1.11,0.909177,59999
03/04/1996,1.1,1.1,1.1,1.1,0.900986,399999
04/04/1996,1.1,1.1,1.1,1.1,0.900986,19999
05/04/1996,1.1,1.1,1.1,1.1,0.900986,0
08/04/1996,1.1,1.1,1.1,1.1,0.900986,19999
09/04/1996,1.1,1.1,1.1,1.1,0.900986,19999
10/04/1996,1.125,1.125,1.125,1.125,0.921463,19999
