Date,Open,High,Low,Close,Volume
11/09/2002,1.187115,1.187115,1.158759,1.172554,564188
12/09/2002,1.153394,1.176386,1.153394,1.168722,504609
13/09/2002,1.184816,1.184816,1.162591,1.176386,513534
16/09/2002,1.172554,1.180217,1.157226,1.166423,511485
17/09/2002,1.161058,1.174853,1.149562,1.16489,499846
18/09/2002,1.153394,1.171787,1.153394,1.161058,506044
19/09/2002,1.157226,1.16489,1.153394,1.157226,485989
20/09/2002,1.157226,1.157226,1.145731,1.153394,492578
23/09/2002,1.149562,1.163357,1.146497,1.157993,527652
24/09/2002,1.088252,1.153394,1.088252,1.126571,568011
25/09/2002,1.089785,1.134235,1.089785,1.113543,528109
26/09/2002,1.118907,1.126571,1.100514,1.107412,539331
27/09/2002,1.011615,1.118907,1.011615,1.10358,602772
30/09/2002,1.015447,1.110477,1.015447,1.081355,506827
01/10/2002,0.984025,1.072925,0.984025,1.04227,517996
02/10/2002,1.04227,1.04227,1.04227,1.04227,0
03/10/2002,0.99782,1.04227,0.99782,1.030008,514160
04/10/2002,1.048401,1.048401,1.023111,1.026176,496179
07/10/2002,1.026942,1.051466,1.026942,1.049167,497445
08/10/2002,1.046102,1.118907,1.046102,1.110477,519836
09/10/2002,1.126571,1.157226,1.116608,1.140366,561304
10/10/2002,1.089785,1.130403,1.089785,1.107412,502860
11/10/2002,1.125805,1.145731,1.111244,1.129637,556829
14/10/2002,1.130403,1.138067,1.115076,1.125038,493752
15/10/2002,1.125038,1.125038,1.125038,1.125038,0
16/10/2002,1.133469,1.133469,1.111244,1.118907,497797
17/10/2002,1.121207,1.122739,1.11201,1.115842,505365
18/10/2002,1.10358,1.127338,1.10358,1.109711,496297
21/10/2002,1.111244,1.118907,1.099748,1.110477,497471
22/10/2002,1.111244,1.125805,1.105113,1.108945,503017
23/10/2002,1.111244,1.121207,1.105879,1.110477,512477
24/10/2002,1.080589,1.088252,1.010849,1.062962,623754
25/10/2002,1.049934,1.056831,1.013914,1.033073,565910
28/10/2002,1.011615,1.029242,0.993988,1.023111,515635
29/10/2002,1.019279,1.04227,1.019279,1.035373,493687
30/10/2002,1.047635,1.056831,1.026942,1.039204,516183
31/10/2002,1.056065,1.056065,1.034606,1.049934,490034
01/11/2002,1.0507,1.062962,1.030774,1.046102,489668
04/11/2002,1.057597,1.065261,1.027709,1.048401,362172
05/11/2002,1.058364,1.063728,1.043036,1.043036,487098
06/11/2002,1.043036,1.043036,1.043036,1.043036,0
07/11/2002,1.073691,1.084421,1.049934,1.069093,493309
08/11/2002,1.092851,1.092851,1.0507,1.063728,501190
11/11/2002,1.074458,1.128104,1.044569,1.118907,557898
12/11/2002,1.140366,1.141899,1.104346,1.130403,513730
13/11/2002,1.115076,1.149562,1.115076,1.144198,511446
14/11/2002,1.138833,1.187881,1.138833,1.175619,534672
15/11/2002,1.180217,1.210106,1.17332,1.205508,546455
18/11/2002,1.210106,1.210872,1.187881,1.199377,485349
19/11/2002,1.199377,1.199377,1.199377,1.199377,0
20/11/2002,1.202442,1.207807,1.177152,1.197078,469991
